Collection,Asset,Primary Owner,Second Owner,Sys Admin,Label,STIGs,Benchmarks,Assessed,Submitted,Accepted,Rejected,CAT3,CAT2,CAT1
NP_C10-Enchilada_2008_DBS,C27DATNWPT45,,,,,6,"IE_11_STIG,MS_Dot_Net_Framework,Windows_2012_MS_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,MS_Defender_Antivirus,Splunk_Enterprise_7-x_for_Windows_STIG",84%,83%,83%,0%,0,3,0
NP_C10-Enchilada_2008_DBS,Ench_App_AOL_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_AOOT_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_CCICO_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_CLF_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_DEMO-IP_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_EMPLV_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_ENCH_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_HR-Apps_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_LDA_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_RFL_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_RFOT_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_SEC_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,Ench_App_UTIL_Rollup,,,,,1,Application_Security_Development_STIG,0%,0%,0%,0%,0,0,0
NP_C10-Enchilada_2008_DBS,NPRI54DAT47,,,,,5,"Splunk_Enterprise_7-x_for_Windows_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,MS_Dot_Net_Framework,IE_11_STIG,Windows_2012_MS_STIG",82%,81%,81%,0%,1,7,0
NP_C10-Enchilada_2008_DBS,NPRI54DAT67,,,,,5,"IE_11_STIG,MS_Dot_Net_Framework,Windows_2012_MS_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Splunk_Enterprise_7-x_for_Windows_STIG",82%,81%,81%,0%,0,7,0
NP_C10-Enchilada_2008_DBS,NPRI54WEB15,,,,,8,"VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Server_2019_STIG,IIS_10-0_Site_STIG,IIS_10-0_Server_STIG,MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,Splunk_Enterprise_7-x_for_Windows_STIG",76%,74%,70%,0%,3,8,0
NP_C10-Enchilada_2008_DBS,NPRI54WEB53,,,,,7,"Windows_Server_2019_STIG,Splunk_Enterprise_7-x_for_Windows_STIG,MS_Defender_Antivirus,IE_11_STIG,MS_Dot_Net_Framework,IIS_10-0_Server_STIG,IIS_10-0_Site_STIG",80%,77%,67%,0%,5,11,0
NP_C10-Enchilada_2008_DBS,Oracle-DSECDB,,,,,1,Oracle_Database_12c_STIG,91%,0%,0%,0%,0,1,0
NP_C10-Enchilada_2008_DBS,Oracle-DVPRODDB,,,,,1,Oracle_Database_12c_STIG,91%,0%,0%,0%,0,1,0
NP_C10-Enchilada_2008_DBS,Oracle-PRODDB,,,,,1,Oracle_Database_12c_STIG,91%,0%,0%,0%,0,1,0
NP_C10-Enchilada_2008_DBS,Oracle-SECDB,,,,,1,Oracle_Database_12c_STIG,91%,0%,0%,0%,0,1,0
NP_C10-Enchilada_2008_DBS,Oracle-TPRODDB,,,,,1,Oracle_Database_12c_STIG,91%,0%,0%,0%,0,1,0
NP_C10-Enchilada_2008_DBS,Oracle-TSECDB,,,,,1,Oracle_Database_12c_STIG,91%,0%,0%,0%,0,1,0
NP_C10-NCCM-NW_7371_Zone B,1301-SHLT,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,400586SOJOURNER,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,atms_ejcl3,,,,,2,"MOZ_Firefox_STIG,Google_Chrome_Current_Windows",81%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,c2ap-dev-01,,,,,3,"Google_Chrome_Current_Windows,MOZ_Firefox_STIG,RHEL_7_STIG",48%,0%,0%,0%,3,20,1
NP_C10-NCCM-NW_7371_Zone B,np0044wk402135,,,,,2,"MOZ_Firefox_STIG,RHEL_8_STIG",96%,93%,0%,0%,0,12,0
NP_C10-NCCM-NW_7371_Zone B,np0044wk405384,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,np0044wk405400,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,np0170wk400144,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,np0170wk402073,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,15,0
NP_C10-NCCM-NW_7371_Zone B,np0170wk407024,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,14,1
NP_C10-NCCM-NW_7371_Zone B,np0170wk408102,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,np0170wk409520,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,1,19,2
NP_C10-NCCM-NW_7371_Zone B,np0170wk414416,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,np0170wk541538,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,1,18,1
NP_C10-NCCM-NW_7371_Zone B,np0170wk546595,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,17,0
NP_C10-NCCM-NW_7371_Zone B,np0170wk629797,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,24,2
NP_C10-NCCM-NW_7371_Zone B,NP0440NB417274,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,15,1
NP_C10-NCCM-NW_7371_Zone B,NP0445NB4002256,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,np0461nb402373,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,16,2
NP_C10-NCCM-NW_7371_Zone B,NP0461NB737510,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,20,0
NP_C10-NCCM-NW_7371_Zone B,np0461nb749195,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,21,2
NP_C10-NCCM-NW_7371_Zone B,np0479wk417488,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,15,1
NP_C10-NCCM-NW_7371_Zone B,NP0902WK400188,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",73%,73%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,NP0902WK402124,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",99%,96%,0%,0%,0,8,0
NP_C10-NCCM-NW_7371_Zone B,np1265nb399251,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,23,2
NP_C10-NCCM-NW_7371_Zone B,np1265nb399387,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,np1265nb400704,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,np1265nb400710,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,15,0
NP_C10-NCCM-NW_7371_Zone B,np1265nb416054,,,,,2,"RHEL_7_STIG,MOZ_Firefox_STIG",43%,0%,0%,0%,0,17,1
NP_C10-NCCM-NW_7371_Zone B,np1265nb416056,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,18,1
NP_C10-NCCM-NW_7371_Zone B,np1265nb416057,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,20,2
NP_C10-NCCM-NW_7371_Zone B,np1265nb712821,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,19,2
NP_C10-NCCM-NW_7371_Zone B,np1321wk392406,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,sphericalchicken,,,,,1,MOZ_Firefox_STIG,76%,0%,0%,0%,0,0,0
NP_C10-NCCM-NW_7371_Zone B,w3421-es-lt50,,,,,2,"MOZ_Firefox_STIG,RHEL_7_STIG",43%,0%,0%,0%,0,12,0
NP_C10-NCCM-S_7373_Zone B,NPA0APPSCN01,,,,,6,"MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2016_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",98%,98%,89%,0%,2,7,0
NP_C10-NCCM-S_7373_Zone B,NPA0ARCGIS01,,,,,7,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2016_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,ArcGIS_Server_10.3_STIG,Windows_Firewall_with_Advanced_Security",95%,95%,90%,0%,0,1,0
NP_C10-NCCM-S_7373_Zone B,NPA0ARCGIS02,,,,,6,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",99%,98%,94%,0%,0,1,1
NP_C10-NCCM-S_7373_Zone B,NPA0ARCGISDATA,,,,,6,"MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",99%,99%,95%,0%,0,1,0
NP_C10-NCCM-S_7373_Zone B,NPA0ARCGISPRTL,,,,,7,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",99%,98%,94%,0%,0,1,1
NP_C10-NCCM-S_7373_Zone B,NPA0ARCGISSTORE,,,,,7,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",99%,99%,95%,0%,0,0,1
NP_C10-NCCM-S_7373_Zone B,NPA0ASDLENEL01,,,,,7,"MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2019_STIG,Google_Chrome_Current_Windows,MS_Defender_Antivirus,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,95%,0%,0,2,1
NP_C10-NCCM-S_7373_Zone B,NPA0AZDEVOPS01,,,,,6,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2016_STIG,Windows_Firewall_with_Advanced_Security",96%,92%,88%,0%,4,15,2
NP_C10-NCCM-S_7373_Zone B,NPA0BUILDVM04,,,,,5,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2019_STIG,Windows_Firewall_with_Advanced_Security",99%,97%,93%,0%,2,6,2
NP_C10-NCCM-S_7373_Zone B,NPA0CHKMRX02,,,,,6,"MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",96%,94%,90%,0%,3,9,0
NP_C10-NCCM-S_7373_Zone B,NPA0CIBUILD70,,,,,6,"MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",96%,93%,89%,0%,2,14,0
NP_C10-NCCM-S_7373_Zone B,NPA0COLTS01,,,,,6,"MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",96%,93%,89%,0%,3,10,0
NP_C10-NCCM-S_7373_Zone B,NPA0KEYCLOAK,,,,,6,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",99%,99%,94%,0%,0,1,1
NP_C10-NCCM-S_7373_Zone B,NPA0LENEL01,,,,,5,"MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",100%,99%,95%,0%,0,1,0
NP_C10-NCCM-S_7373_Zone B,NPA0NVR01,,,,,4,"MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2016_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,96%,0%,0,1,0
NP_C10-NCCM-S_7373_Zone B,NPA0NVR02,,,,,4,"MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2016_STIG,Windows_Firewall_with_Advanced_Security",100%,100%,96%,0%,0,1,0
NP_C10-NCCM-S_7373_Zone B,NPA0SPRI03,,,,,6,"MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",97%,95%,90%,0%,3,7,0
NP_C10-NCCM-S_7373_Zone B,NPA0VSMART01,,,,,6,"MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",96%,92%,88%,0%,3,14,0
NP_C10-NCCM-S_7373_Zone B,NPA4AZSQLAG01,,,,,4,"MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2019_STIG,Windows_Firewall_with_Advanced_Security",99%,96%,92%,0%,3,9,1
NP_C10-NCCM-S_7373_Zone B,NPC2ARCGISWEB01,,,,,7,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2019_STIG,VMW_vSphere_7-0_Virtual_Machine_STIG,Windows_Firewall_with_Advanced_Security",96%,94%,90%,0%,3,8,1
NP_C10-NCCM-W_7372_Zone B,0170-01939,,,,,15,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Lync_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,44,2
NP_C10-NCCM-W_7372_Zone B,0170-02099,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,43,3
NP_C10-NCCM-W_7372_Zone B,0170-399925,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2016,Microsoft_Office_System_2016,Microsoft_OneDrive,Microsoft_PowerPoint_2016,Microsoft_Word_2016,MS_Windows_10_STIG",83%,0%,0%,0%,4,40,2
NP_C10-NCCM-W_7372_Zone B,044602165WS02,,,,,12,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",83%,0%,0%,0%,3,42,3
NP_C10-NCCM-W_7372_Zone B,047902188DT,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,43,2
NP_C10-NCCM-W_7372_Zone B,047902189DT,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,42,2
NP_C10-NCCM-W_7372_Zone B,1265-399383,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,6,61,4
NP_C10-NCCM-W_7372_Zone B,1265-399649,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,2,27,3
NP_C10-NCCM-W_7372_Zone B,1265-399969,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,42,3
NP_C10-NCCM-W_7372_Zone B,1265-399997,,,,,15,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Lync_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,45,3
NP_C10-NCCM-W_7372_Zone B,1265-400713,,,,,15,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Lync_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,4,61,4
NP_C10-NCCM-W_7372_Zone B,1274-02089,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,42,3
NP_C10-NCCM-W_7372_Zone B,132102071SSTD6,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,43,3
NP_C10-NCCM-W_7372_Zone B,EMERALD,,,,,15,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_Outlook_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",85%,0%,0%,0%,2,10,2
NP_C10-NCCM-W_7372_Zone B,NP0086NB399975,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",81%,0%,0%,0%,6,8,4
NP_C10-NCCM-W_7372_Zone B,NP0086WK400111,,,,,12,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",83%,0%,0%,0%,5,42,4
NP_C10-NCCM-W_7372_Zone B,NP0095WK403352,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,6,42,4
NP_C10-NCCM-W_7372_Zone B,NP0139NB005608,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,43,2
NP_C10-NCCM-W_7372_Zone B,NP0139NB400801,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,2,9,2
NP_C10-NCCM-W_7372_Zone B,NP0139NB701805,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,42,2
NP_C10-NCCM-W_7372_Zone B,NP0139NB701808,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,42,2
NP_C10-NCCM-W_7372_Zone B,NP0139WK002185,,,,,12,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,4,11,2
NP_C10-NCCM-W_7372_Zone B,NP0139WK014400,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,45,2
NP_C10-NCCM-W_7372_Zone B,NP0139WK014422,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,42,3
